rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1740935100000,5,48.040
陆水,61705000,陆水水库(坝上),1740936000000,5,48.030
陆水,61705000,陆水水库(坝上),1740936600000,4,48.020
陆水,61705000,陆水水库(坝上),1740937200000,5,48.050
陆水,61705000,陆水水库(坝上),1740937800000,6,48.040
陆水,61705000,陆水水库(坝上),1740939000000,5,48.060
陆水,61705000,陆水水库(坝上),1740940200000,5,48.060
陆水,61705000,陆水水库(坝上),1740940800000,5,48.040
陆水,61705000,陆水水库(坝上),1740941400000,4,48.040
陆水,61705000,陆水水库(坝上),1740942300000,6,48.050
陆水,61705000,陆水水库(坝上),1740942900000,6,48.050
陆水,61705000,陆水水库(坝上),1740943500000,4,48.040
陆水,61705000,陆水水库(坝上),1740944100000,6,48.050
陆水,61705000,陆水水库(坝上),1740944700000,6,48.050
陆水,61705000,陆水水库(坝上),1740945900000,5,48.060
陆水,61705000,陆水水库(坝上),1740946800000,5,48.060
陆水,61705000,陆水水库(坝上),1740947700000,5,48.050
陆水,61705000,陆水水库(坝上),1740948000000,5,48.060
陆水,61705000,陆水水库(坝上),1740948600000,6,48.050
陆水,61705000,陆水水库(坝上),1740949500000,5,48.050
陆水,61705000,陆水水库(坝上),1740949800000,5,48.060
陆水,61705000,陆水水库(坝上),1740950400000,5,48.050
陆水,61705000,陆水水库(坝上),1740950700000,5,48.070
陆水,61705000,陆水水库(坝上),1740951300000,4,48.040
陆水,61705000,陆水水库(坝上),1740951900000,5,48.070
陆水,61705000,陆水水库(坝上),1740953100000,4,48.050
陆水,61705000,陆水水库(坝上),1740954300000,6,48.060
陆水,61705000,陆水水库(坝上),1740954900000,6,48.070
陆水,61705000,陆水水库(坝上),1740955500000,5,48.070
陆水,61705000,陆水水库(坝上),1740956700000,5,48.090
陆水,61705000,陆水水库(坝上),1740957600000,6,48.080
陆水,61705000,陆水水库(坝上),1740957900000,6,48.080
陆水,61705000,陆水水库(坝上),1740958500000,6,48.090
陆水,61705000,陆水水库(坝上),1740959100000,4,48.070
陆水,61705000,陆水水库(坝上),1740963900000,4,48.080
陆水,61705000,陆水水库(坝上),1740968700000,4,48.080
陆水,61705000,陆水水库(坝上),1740970800000,6,48.090
陆水,61705000,陆水水库(坝上),1740972300000,4,48.090
陆水,61705000,陆水水库(坝上),1740973200000,6,48.100
陆水,61705000,陆水水库(坝上),1740973800000,5,48.090
陆水,61705000,陆水水库(坝上),1740975600000,4,48.080
陆水,61705000,陆水水库(坝上),1740976500000,6,48.080
陆水,61705000,陆水水库(坝上),1740977100000,4,48.090
陆水,61705000,陆水水库(坝上),1740978300000,4,48.090
陆水,61705000,陆水水库(坝上),1740979500000,6,48.090
陆水,61705000,陆水水库(坝上),1740980100000,6,48.100
陆水,61705000,陆水水库(坝上),1740980700000,5,48.100
陆水,61705000,陆水水库(坝上),1740982500000,5,48.100
陆水,61705000,陆水水库(坝上),1740983700000,6,48.090
陆水,61705000,陆水水库(坝上),1740984300000,6,48.100
陆水,61705000,陆水水库(坝上),1740985500000,4,48.090
陆水,61705000,陆水水库(坝上),1740986400000,4,48.090
陆水,61705000,陆水水库(坝上),1740987000000,6,48.100
陆水,61705000,陆水水库(坝上),1740987600000,4,48.090
陆水,61705000,陆水水库(坝上),1740988200000,6,48.100
陆水,61705000,陆水水库(坝上),1740989400000,6,48.100
陆水,61705000,陆水水库(坝上),1740990900000,4,48.100
陆水,61705000,陆水水库(坝上),1740991500000,5,48.110
陆水,61705000,陆水水库(坝上),1740993000000,4,48.100
陆水,61705000,陆水水库(坝上),1740993900000,4,48.100
陆水,61705000,陆水水库(坝上),1740994500000,5,48.110
陆水,61705000,陆水水库(坝上),1740995100000,5,48.110
陆水,61705000,陆水水库(坝上),1740996600000,5,48.120
陆水,61705000,陆水水库(坝上),1740997800000,4,48.100
陆水,61705000,陆水水库(坝上),1740998400000,6,48.110
陆水,61705000,陆水水库(坝上),1740999000000,4,48.110
陆水,61705000,陆水水库(坝上),1740999900000,6,48.110
陆水,61705000,陆水水库(坝上),1741000800000,6,48.110
陆水,61705000,陆水水库(坝上),1741001400000,5,48.120
陆水,61705000,陆水水库(坝上),1741002000000,6,48.110
陆水,61705000,陆水水库(坝上),1741002300000,5,48.120
陆水,61705000,陆水水库(坝上),1741004700000,6,48.120
陆水,61705000,陆水水库(坝上),1741006500000,6,48.120
陆水,61705000,陆水水库(坝上),1741008300000,5,48.130
陆水,61705000,陆水水库(坝上),1741008900000,5,48.130
陆水,61705000,陆水水库(坝上),1741009500000,6,48.130
陆水,61705000,陆水水库(坝上),1741010700000,6,48.130
陆水,61705000,陆水水库(坝上),1741011900000,5,48.140
陆水,61705000,陆水水库(坝上),1741012500000,6,48.130
陆水,61705000,陆水水库(坝上),1741013100000,6,48.140
陆水,61705000,陆水水库(坝上),1741014600000,6,48.140
陆水,61705000,陆水水库(坝上),1741015500000,6,48.140
陆水,61705000,陆水水库(坝上),1741016100000,4,48.140
陆水,61705000,陆水水库(坝上),1741016700000,6,48.150
陆水,61705000,陆水水库(坝上),1741018200000,6,48.150
陆水,61705000,陆水水库(坝上),1741019700000,5,48.160
陆水,61705000,陆水水库(坝上),1741020300000,6,48.160
陆水,61705000,陆水水库(坝上),1741021500000,5,48.170
陆水,61705000,陆水水库(坝上),1741022700000,6,48.170
陆水,61705000,陆水水库(坝上),1741023300000,6,48.170
陆水,61705000,陆水水库(坝上),1741023900000,6,48.170
陆水,61705000,陆水水库(坝上),1741025400000,6,48.180
陆水,61705000,陆水水库(坝上),1741026600000,6,48.180
陆水,61705000,陆水水库(坝上),1741027200000,6,48.180
陆水,61705000,陆水水库(坝上),1741027800000,6,48.180
陆水,61705000,陆水水库(坝上),1741029000000,6,48.190
陆水,61705000,陆水水库(坝上),1741029600000,6,48.190
陆水,61705000,陆水水库(坝上),1741029900000,6,48.190
